r**2,t * 1e9
4.24545e-14,0.267
4.26504e-14,0.268
4.28449e-14,0.269
4.30395e-14,0.27
4.32348e-14,0.271
4.34288e-14,0.272
4.36224e-14,0.273
4.38165e-14,0.274
4.40109e-14,0.275
4.42055e-14,0.276
4.44008e-14,0.277
4.45957e-14,0.278
4.47888e-14,0.279
4.49817e-14,0.28
4.5175e-14,0.281
4.53683e-14,0.282
4.55623e-14,0.283
4.57572e-14,0.284
4.59523e-14,0.285
4.61471e-14,0.286
4.6342e-14,0.287
4.65377e-14,0.288
4.67339e-14,0.289
4.69298e-14,0.29
4.71254e-14,0.291
4.73214e-14,0.292
4.75177e-14,0.293
4.77143e-14,0.294
4.79115e-14,0.295
4.81086e-14,0.296
4.83042e-14,0.297
4.84996e-14,0.298
4.86949e-14,0.299
4.8889e-14,0.3
4.90839e-14,0.301
4.92803e-14,0.302
4.94763e-14,0.303
4.96707e-14,0.304
4.98626e-14,0.305
5.00547e-14,0.306
5.02465e-14,0.307
5.04371e-14,0.308
5.0629e-14,0.309
5.08205e-14,0.31
5.10122e-14,0.311
5.12036e-14,0.312
5.13954e-14,0.313
5.1588e-14,0.314
5.17814e-14,0.315
5.19758e-14,0.316
5.21697e-14,0.317
5.23643e-14,0.318
5.25596e-14,0.319
5.27546e-14,0.32
5.29496e-14,0.321
5.31455e-14,0.322
5.33416e-14,0.323
5.35377e-14,0.324
5.37332e-14,0.325
5.39293e-14,0.326
5.4124e-14,0.327
5.43173e-14,0.328
5.45114e-14,0.329
5.47037e-14,0.33
5.48946e-14,0.331
5.50864e-14,0.332
5.52769e-14,0.333
5.54677e-14,0.334
5.56588e-14,0.335
5.5851e-14,0.336
5.60449e-14,0.337
5.62392e-14,0.338
5.64314e-14,0.339
5.6622e-14,0.34
5.6812e-14,0.341
5.70026e-14,0.342
5.71923e-14,0.343
5.73809e-14,0.344
5.7569e-14,0.345
5.77586e-14,0.346
5.7949e-14,0.347
5.81397e-14,0.348
5.83302e-14,0.349
5.85207e-14,0.35
5.87098e-14,0.351
5.88982e-14,0.352
5.90867e-14,0.353
5.92753e-14,0.354
5.94644e-14,0.355
5.96535e-14,0.356
5.98427e-14,0.357
6.00321e-14,0.358
6.02213e-14,0.359
6.04095e-14,0.36
6.05988e-14,0.361
6.07886e-14,0.362
6.09763e-14,0.363
6.11637e-14,0.364
6.13511e-14,0.365
6.15406e-14,0.366
6.17303e-14,0.367
6.192e-14,0.368
6.21099e-14,0.369
6.22977e-14,0.37
6.24848e-14,0.371
6.26709e-14,0.372
6.28573e-14,0.373
6.30442e-14,0.374
6.32327e-14,0.375
6.34203e-14,0.376
6.36084e-14,0.377
6.3798e-14,0.378
6.39886e-14,0.379
6.41813e-14,0.38
6.4375e-14,0.381
6.45704e-14,0.382
6.47664e-14,0.383
6.4963e-14,0.384
6.51612e-14,0.385
6.53584e-14,0.386
6.55551e-14,0.387
6.57522e-14,0.388
6.59493e-14,0.389
6.61466e-14,0.39
6.63449e-14,0.391
6.65439e-14,0.392
6.6744e-14,0.393
6.69444e-14,0.394
6.71459e-14,0.395
6.73474e-14,0.396
6.75487e-14,0.397
6.77501e-14,0.398
6.79535e-14,0.399
6.81569e-14,0.4
6.83605e-14,0.401
6.85644e-14,0.402
6.87675e-14,0.403
6.89687e-14,0.404
6.9171e-14,0.405
6.93741e-14,0.406
6.95773e-14,0.407
6.97807e-14,0.408
6.99863e-14,0.409
7.01915e-14,0.41
7.03965e-14,0.411
7.06017e-14,0.412
7.08067e-14,0.413
7.10121e-14,0.414
7.12195e-14,0.415
7.14262e-14,0.416
7.16329e-14,0.417
7.18396e-14,0.418
7.20474e-14,0.419
7.22544e-14,0.42
7.24635e-14,0.421
7.26718e-14,0.422
7.28786e-14,0.423
7.30862e-14,0.424
7.32945e-14,0.425
7.35007e-14,0.426
7.37055e-14,0.427
7.39103e-14,0.428
7.41131e-14,0.429
7.43139e-14,0.43
7.45116e-14,0.431
7.4709e-14,0.432
7.49057e-14,0.433
7.51029e-14,0.434
7.52997e-14,0.435
7.5495e-14,0.436
7.56899e-14,0.437
7.58848e-14,0.438
7.60806e-14,0.439
7.62763e-14,0.44
7.6473e-14,0.441
7.66708e-14,0.442
7.68706e-14,0.443
7.70689e-14,0.444
7.72676e-14,0.445
7.74679e-14,0.446
7.76677e-14,0.447
7.78661e-14,0.448
7.80646e-14,0.449
7.82636e-14,0.45
7.84631e-14,0.451
7.86641e-14,0.452
7.88654e-14,0.453
7.9067e-14,0.454
7.9269e-14,0.455
7.94711e-14,0.456
7.96732e-14,0.457
7.98753e-14,0.458
8.00784e-14,0.459
8.02813e-14,0.46
8.04844e-14,0.461
8.06859e-14,0.462
8.08871e-14,0.463
8.10868e-14,0.464
8.12861e-14,0.465
8.14875e-14,0.466
8.16899e-14,0.467
8.18931e-14,0.468
8.20976e-14,0.469
8.23031e-14,0.47
8.25066e-14,0.471
8.27105e-14,0.472
8.29162e-14,0.473
8.31218e-14,0.474
8.33283e-14,0.475
8.35372e-14,0.476
8.37464e-14,0.477
8.39546e-14,0.478
8.41642e-14,0.479
8.43762e-14,0.48
8.45856e-14,0.481
